所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
客户管理,验证客户名称不选能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:不选
跟进主题:收购橘子
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证跟进主题输入特殊字符'#*%能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:'#*%
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证跟进主题输入空格能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:空格
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证跟进主题为空能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:空
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",1,功能测试
客户管理,验证跟进时间选择未来能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-20
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证跟进时间为空能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:空
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证跟进效果为空能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:空
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",1,功能测试
客户管理,验证跟进员工为空能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:空
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证跟进方式为空能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:空格
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证备注输入特殊字符#%*'能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:#%*'
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证备注输入空格能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:空格
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
客户管理,验证备注为空能否添加成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:空
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",1,功能测试
客户管理,验证点击编辑进入页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[编辑]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",1,功能测试
客户管理,验证编辑用户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[编辑]
4.输入信息
客户名称:下拉选择
跟进主题:采购李子
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.编辑成功",1,功能测试
客户管理,验证点击删除能否出现友好提示,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.选择一行点击[删除]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除",1,功能测试
客户管理,验证点击点击删除能删除信息成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.选择一行点击[删除]
4.点击[确定]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除
4.删除成功,已删除信息不存在",1,功能测试
客户管理,验证关键字跟进效果默认空能否查询出结果,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[查询]","1.成功进入
2.成功进入
3.查询出全部结果",1,功能测试
客户管理,验证关键字输入正确能否查询出结果,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.输入关键字:客户2
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.查询出相应结果",1,功能测试
客户管理,验证关键字输入特殊字符'能否查询出结果,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.输入关键字:'
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.无查询结果",1,功能测试
客户管理,验证选择相应跟进效果能否查询出对应的客户信息,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.跟进效果:下拉选择
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.查询出相应结果",1,功能测试
客户管理,验证高级搜索选择相应条件能否查询出对应的客户信息,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[高级查询查询]
4.跟进员工:下拉选择
5.点击[确认]","1.成功进入
2.成功进入
3.成功输入
4.成功选择
5.查询出相应结果",1,功能测试
客户管理,验证点击客户移交记录是否能成功进入页面显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]","1.成功进入
2.成功进入,页面显示正确",1,功能测试
客户管理,验证点击添加页面是否显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[添加]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",1,功能测试
客户管理,验证正确的数据添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[添加]
4.输入信息
移交原因:其他
移交时间:2020-02-09
被移交客户:哈哈
老市场专员:下拉选择
新市场专员:下拉选择
办理移交人员:下拉选择
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",1,功能测试
客户管理,验证点击编辑进入页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[编辑]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",1,功能测试
客户管理,验证编辑用户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[编辑]
4.输入信息
移交原因:哈哈哈哈
移交时间:2020-02-09
被移交客户:哈哈
老市场专员:下拉选择
新市场专员:下拉选择
办理移交人员:下拉选择
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.编辑成功",1,功能测试
客户管理,验证点击删除是否出现友好提示,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.选择一行点击[删除]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除",1,功能测试
客户管理,验证删除客户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.选择一行点击[删除]
4.点击[确定]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除
4.删除成功,已删除信息不存在",1,功能测试
客户管理,验证关键字为空能否查出所有结果,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[查询]","1.成功进入
2.成功进入
3.查询出全部结果",1,功能测试
客户管理,验证关键字输入正确能否查出对应结果,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.关键字输入:客户5
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.查询出对应结果",1,功能测试
客户管理,验证高级搜索选择相应条件能否查询出对应的客户信息,"超级管理员身份
登录客户关系管理系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[高级搜索]
4.选择办理移交人:下拉选择","1.成功进入
2.成功进入
3.成功输入
4.查询出对应结果",1,功能测试
营销管理,验证点击潜在客户管理是否成功进入页面显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]","1.成功进入
2.成功进入,页面显示正确",1,功能测试
营销管理,验证点击添加页面是否显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[添加]","1.成功进入
2.成功进入
3.成功进入,,页面显示正确",1,功能测试
营销管理,验证正确的数据添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[添加]
4.输入信息
潜在客户名称:下拉选择
成功机率:90
联系人:西西
联系电话:18080032292
创建人:下拉选择
客户来源:下拉选择
潜在客户描述:有希望
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",1,功能测试
营销管理,验证不填必填项只填选填项添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[添加]
4.输入信息
潜在客户名称:空
成功机率:空
联系人:西西
联系电话:18080032292
创建人:空
客户来源:下拉选择
潜在客户描述:空
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
营销管理,验证点击编辑进入页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[编辑]","1.成功进入
2.成功进入
3.成功进入,,页面显示正确",1,功能测试
营销管理,验证编辑用户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[添加]
4.输入信息
潜在客户名称:下拉选择
成功机率:90
联系人:东东
联系电话:18080032292
创建人:下拉选择
客户来源:下拉选择
潜在客户描述:有希望
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.编辑成功",1,功能测试
营销管理,验证删除客户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[删除]
4.点击[确定]","1.成功进入
2.成功进入
3.出现提示框是否确认删除
4.成功删除,已删除信息不存在",1,功能测试
营销管理,验证关键字为空能否查出所有结果,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[查询","1.成功进入
2.成功进入
3.查询出全部结果",1,功能测试
营销管理,验证关键字输入正确能否查出所有结果,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.关键字输入:客户3
4.点击[查询","1.成功进入
2.成功进入
3.成功输入
4.查询出对应结果",1,功能测试
营销管理,验证高级搜索选择相应条件能否查询出对应的客户信息,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[潜在客户管理]
3.点击[高级搜索]
4.选择创建人:下拉选择
5.点击[确认]","1.成功进入
2.成功进入
3.成功输入
4.成功选择
5.查询出对应结果",1,功能测试
营销管理,验证点击客户开发计划管理是否成功进入页面显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]","1.成功进入
2.成功进入,页面显示正确",1,功能测试
营销管理,验证点击添加页面是否显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击[添加]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",1,功能测试
营销管理,验证正确的数据添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击[添加]
4.输入信息
创建人:下拉选择
计划实施方式:下拉选择
潜在客户:下拉选择
计划主题:111
计划时间:2020-02-20
计划内容:哈哈哈
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",1,功能测试
营销管理,验证不填必填项只填选填项添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击[添加]
4.输入信息
创建人:空
计划实施方式:空
潜在客户:空
计划主题:空
计划时间:2020-02-20
计划内容:空
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
营销管理,验证点击编辑进入页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击[编辑]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",1,功能测试
营销管理,验证编辑用户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击[添加]
4.输入信息
创建人:下拉选择
计划实施方式:下拉选择
潜在客户:下拉选择
计划主题:111
计划时间:2020-02-20
计划内容:嘻嘻嘻
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.编辑成功",1,功能测试
营销管理,验证删除客户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击[删除]
4.点击[确定]","1.成功进入
2.成功进入
3.出现提示框是否确认删除
4.删除成功,已删除信息不存在",1,功能测试
营销管理,验证关键字为空能否查出所有结果,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击[查询]","1.成功进入
2.成功进入
3.查询出全部结果",1,功能测试
营销管理,验证关键字输入正确能否查出所有结果,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.关键字输入:客户6
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.查询出对应结果",1,功能测试
营销管理,验证高级搜索选择相应条件能否查询出对应的客户信息,"超级管理员身份
登录客户关系管理系统","1.点击[营销管理]
2.点击[客户开发计划管理]
3.点击高级搜索
4.选择创建人:下拉选择
5.点击[确认]","1.成功进入
2.成功进入
3.成功成功进入
4.成功选择
5.查询出对应结果",1,功能测试
订单合同管理,验证点击订单管理是否成功进入页面显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]","1.成功进入
2.成功进入,页面显示正确",1,功能测试
订单合同管理,验证点击添加页面是否显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[添加]","1.成功进入
2.成功进入
3.成功进入,,页面显示正确",1,功能测试
订单合同管理,验证正确的数据添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[添加]
4.输入信息
签订时间:2020-02-09
订单金额:1000
摘要:定金
订单客户:下拉选择
营销人员:下拉选择
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",1,功能测试
订单合同管理,验证不填必填项只填选填项添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[添加]
4.输入信息
签订时间:空
订单金额:1000
摘要:定金
订单客户:下拉选择
营销人员:下拉选择
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
订单合同管理,验证点击编辑进入页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[编辑]","1.成功进入
2.成功进入
3.成功进入,,页面显示正确",1,功能测试
订单合同管理,验证编辑用户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[添加]
4.输入信息
签订时间:2020-02-09
订单金额:1000
摘要:定金
订单客户:下拉选择
营销人员:下拉选择
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.编辑成功",1,功能测试
订单合同管理,验证删除客户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[删除]
4.点击[确定]","1.成功进入
2.成功进入
3.出现提示框是否确认删除
4.成功删除,已删除信息不存在",1,功能测试
订单合同管理,验证生成合同是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[生成合同]
4.点击[确认]","1.成功进入
2.成功进入
3.出现提示框是否确认生成合同
4.成功生成合同,合同管理中信息正确",,
订单合同管理,验证定金单号订单金额为空能否查出所有结果,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[搜索]","1.成功进入
2.成功进入
3.查询出全部结果",1,功能测试
订单合同管理,验证定金单号输入正确能否查出对应结果,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.定金单号输入:第一条单号
4.点击[搜索]","1.成功进入
2.成功进入
3.成功输入
4.查询出对应结果",1,功能测试
订单合同管理,验证订单金额输入正确能否查出对应结果,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.订单金额输入:第一条单号
4.点击[搜索]","1.成功进入
2.成功进入
3.成功输入
4.查询出对应结果",1,功能测试
订单合同管理,验证清空能否将输入信息清空,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.定金单号输入:第一条单号
4.点击[清空]","1.成功进入
2.成功进入
3.成功输入
4.成功清空信息",1,功能测试
订单合同管理,验证高级搜索选择相应条件能否查询出对应的客户信息,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[订单管理]
3.点击[高级搜索]
4.订单客户:下拉选择
5.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.成功选择
5.查询出对应结果",1,功能测试
订单合同管理,验证点击合同管理是否成功进入页面显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]","1.成功进入
2.成功进入,页面显示正确",1,功能测试
订单合同管理,验证点击添加页面是否显示正确,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.点击[添加]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",1,功能测试
订单合同管理,验证正确的数据添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.点击[添加]
4.输入信息
签订时间:下拉选择
合同金额:10000
摘要:预付
合同客户:下拉选择
营销人员:下拉选择
5.点击[新增明细]
6.输入信息
支付金额:1000
金额所占百分比:10
是否支付:下拉选择
支付时间:下拉选择
7.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.成功新增
6.成功输入
7.添加成功",1,功能测试
订单合同管理,验证不填必填项只填选填项添加是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.点击[添加]
4.输入信息
签订时间:空
合同金额:10000
摘要:预付
合同客户:下拉选择
营销人员:下拉选择
5.点击[新增明细]
6.输入信息
支付金额:1000
金额所占百分比:10
是否支付:下拉选择
支付时间:下拉选择
7.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",1,功能测试
订单合同管理,验证点击编辑进入页面显示是否正确,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.点击[编辑]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",1,功能测试
订单合同管理,验证编辑用户信息是否成功,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.点击[编辑]
4.输入信息
签订时间:下拉选择
合同金额:10000
摘要:预付
合同客户:下拉选择
营销人员:下拉选择
5.点击[删除明细]
6.点击确认
7.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.编辑成功",1,功能测试
订单合同管理,验证定金单号订单金额为空能否查出所有结果,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.点击[搜索]","1.成功进入
2.成功进入
3.成功查询出所有结果",1,功能测试
订单合同管理,验证定金单号输入正确能否查出对应结果,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.输入定金单号:第一条
4.点击[搜索]","1.成功进入
2.成功进入
3.成功输入
4.成功搜索出对应结果",1,功能测试
订单合同管理,验证订单金额输入正确能否查出对应结果,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.订单金额输入:第一条
4.点击[搜索]","1.成功进入
2.成功进入
3.成功输入
4.查询出对应结果",1,功能测试
订单合同管理,验证清空能否将输入信息清空,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.订单金额输入:第一条
4.点击[清空]","1.成功进入
2.成功进入
3.成功输入
4.成功清空数据",1,功能测试
订单合同管理,验证高级搜索选择相应条件能否查询出对应的客户信息,"超级管理员身份
登录客户关系管理系统","1.点击[订单合同管理]
2.点击[合同管理]
3.点击[高级查询]
4.选择营销人员:下拉选择
5.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.成功选择
5.成功查询出相应结果",1,功能测试
